Employee_ID,Employee_Country,Employee_Name,Employee_Gender,Job,Manager_Hierarchy,employee_birthdate,employee_hire_date,employee_term_date,salary
120123,AU,Kimiko Hotstone,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Assorted Sports Articles""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",28SEP1981,01OCT2002,31JAN2022,"$31,428 "
120124,AU,Lucian Daymond,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Assorted Sports Articles""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",13MAY1976,01MAR1996,.,"$31,776 "
120125,AU,Fong Hofmeister,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Children Sports""},{""level"":5,""id"":""Sales Rep. IV""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",06DEC1971,01MAR1996,31JUL2021,"$38,448 "
120126,AU,Satyakam Denny,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Children Sports""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",20SEP2005,01AUG2023,.,"$32,136 "
120127,AU,Sharryn Clarkson,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Clothes""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",04JAN1996,01NOV2015,.,"$33,720 "
120128,AU,Monica Kletschkus,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Clothes""},{""level"":5,""id"":""Sales Rep. IV""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",14JUL2003,01NOV2023,.,"$37,068 "
120129,AU,Alvin Roebuck,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Clothes""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",22NOV1981,01OCT2002,31MAR2020,"$36,084 "
120130,AU,Kevin Lyon,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Clothes""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",14DEC2001,01MAY2023,.,"$32,346 "
120131,AU,Marinus Surawski,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Golf""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",25SEP1996,01JAN2020,.,"$32,292 "
120132,AU,Fancine Kaiser,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Golf""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",05APR1966,01OCT1995,.,"$34,230 "
120133,AU,Petrea Soltau,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Golf""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",22APR2003,01OCT2023,.,"$32,928 "
120134,AU,Si\u00e2n Shannan,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Golf""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",06JUN1966,01JAN1991,30JUN2023,"$33,618 "
120135,AU,Alexei Platts,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Indoor Sports""},{""level"":5,""id"":""Sales Rep. IV""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",26JAN1986,01OCT2014,30APR2021,"$38,988 "
120136,AU,Atul Leyden,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Indoor Sports""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",16SEP1996,01FEB2020,.,"$31,926 "
120137,AU,Marina Iyengar,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Shoes""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",12MAR1996,01MAR2023,.,"$35,658 "
120138,AU,Shani Duckett,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Shoes""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",11JUL1996,01JUL2023,.,"$30,954 "
120139,AU,Fang Wilson,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Shoes""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",18AUG2003,01SEP2023,.,"$32,172 "
120140,AU,Michael Minas,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",03AUG2005,01OCT2023,.,"$32,364 "
120141,AU,Amanda Liebman,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",12MAR2005,01MAY2023,.,"$32,958 "
120142,AU,Vincent Eastley,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",14JUN2003,01JUL2023,.,"$35,634 "
120143,AU,Phu Sloey,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",17MAY1976,01OCT1999,.,"$32,148 "
120144,AU,Viney Barbis,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",07MAR2003,01OCT2023,.,"$36,318 "
120145,AU,Sandy Aisbitt,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",22JAN1981,01JUN2002,.,"$31,272 "
120146,AU,Wendall Cederlund,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",02OCT1976,01AUG1997,30SEP2022,"$31,182 "
120147,AU,Skev Rusli,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",19JAN2005,01OCT2023,.,"$31,896 "
120148,AU,Michael Zubak,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",13SEP1966,01JUN1995,.,"$34,176 "
120149,AU,Judy Chantharasy,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",21NOV1991,01JAN2010,.,"$31,668 "
120150,AU,John Filo,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",09JUL1971,01AUG1999,30APR2021,"$35,958 "
120151,AU,Julianna Phaiyakounh,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Outdoors""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120103""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",21NOV1961,01JAN1991,.,"$31,824 "
120152,AU,Sean Dives,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",01MAY1996,01APR2022,.,"$31,818 "
120153,AU,Samantha Waal,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",07MAY1996,01JAN2015,31JAN2023,"$32,712 "
120154,AU,Caterina Hayawardhana,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",20JUL1961,01JAN1991,.,"$36,588 "
120155,AU,Narelle James,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",22APR2001,01APR2023,.,"$35,988 "
120156,AU,Gerry Snellings,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",01SEP2005,01MAR2023,.,"$31,734 "
120157,AU,Leonid Karavdic,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",21FEB2003,01DEC2023,.,"$33,432 "
120158,AU,Daniel Pilgrim,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",14JUL1981,01JUL2004,31AUG2022,"$43,926 "
120159,AU,Lynelle Phoumirath,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. IV""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",24FEB1981,01JUL2003,.,"$36,918 "
120160,AU,Chuck Segrave,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Racket Sports""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",09SEP1971,01OCT1991,.,"$32,538 "
120161,AU,Rosette Martines,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. III""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",07MAR2005,01OCT2023,.,"$36,942 "
120162,AU,Randal Scordia,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",05SEP2005,01FEB2023,.,"$32,658 "
120163,AU,Brett Magrath,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",22MAY1981,01JAN2008,.,"$32,082 "
120164,AU,Ranj Stamalis,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",26NOV1976,01FEB1999,.,"$32,940 "
120165,AU,Tadashi Pretorius,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. I""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",19MAR2001,01MAR2023,.,"$32,460 "
120166,AU,Fadi Nowd,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Running - Jogging""},{""level"":5,""id"":""Sales Rep. IV""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",14JUN1961,01JAN1991,31AUG2023,"$36,792 "
